Datum,Vodostaj [cm],Temperatura vode [Â°C]
05.08.2023 09:30,215,25.1
05.08.2023 09:00,210,25.1
05.08.2023 08:30,198,25.1
05.08.2023 08:00,195,25.1
05.08.2023 07:30,182,25.2
05.08.2023 07:00,171,25.2
05.08.2023 06:30,160,25.3
05.08.2023 06:00,160,25.4
05.08.2023 05:30,169,25.5
05.08.2023 05:00,185,25.4
05.08.2023 04:30,199,25.4
05.08.2023 04:00,216,25.4
05.08.2023 03:30,221,25.5
05.08.2023 03:00,232,25.6
05.08.2023 02:30,230,25.8
05.08.2023 02:00,234,26.0
05.08.2023 01:30,243,26.1
05.08.2023 01:00,247,26.1
05.08.2023 00:30,257,26.1
05.08.2023 00:00,245,26.1
04.08.2023 23:30,261,26.1
04.08.2023 23:00,277,26.1
04.08.2023 22:30,278,26.1
04.08.2023 22:00,265,26.1
04.08.2023 21:30,240,26.1
04.08.2023 21:00,235,26.1
04.08.2023 20:30,232,26.1
04.08.2023 20:00,220,26.1
04.08.2023 19:30,202,26.2
04.08.2023 19:00,192,26.2
04.08.2023 18:30,196,26.2
04.08.2023 18:00,214,26.1
04.08.2023 17:30,227,26.1
04.08.2023 17:00,236,26.1
04.08.2023 16:30,233,26.1
04.08.2023 16:00,243,26.1
04.08.2023 15:30,254,26.1
04.08.2023 15:00,262,26.1
04.08.2023 14:30,267,26.1
04.08.2023 14:00,269,26.1
04.08.2023 13:30,278,26.1
04.08.2023 13:00,285,26.1
04.08.2023 12:30,285,26.1
04.08.2023 12:00,279,26.1
04.08.2023 11:30,260,26.1
04.08.2023 11:00,277,26.1
04.08.2023 10:30,272,26.0
04.08.2023 10:00,273,26.2
04.08.2023 09:30,234,26.2
04.08.2023 09:00,220,26.2
04.08.2023 08:30,209,26.2
04.08.2023 08:00,196,26.2
04.08.2023 07:30,186,26.2
04.08.2023 07:00,178,26.2
04.08.2023 06:30,172,26.2
04.08.2023 06:00,172,26.3
04.08.2023 05:30,174,26.3
04.08.2023 05:00,178,26.3
04.08.2023 04:30,185,26.3
04.08.2023 04:00,196,26.4
04.08.2023 03:30,208,26.4
04.08.2023 03:00,224,26.4
04.08.2023 02:30,238,26.4
04.08.2023 02:00,252,26.4
04.08.2023 01:30,266,26.4
04.08.2023 01:00,278,26.4
04.08.2023 00:30,287,26.4
04.08.2023 00:00,288,26.3
03.08.2023 23:30,290,26.4
03.08.2023 23:00,287,26.4
03.08.2023 22:30,286,26.5
03.08.2023 22:00,279,26.6
03.08.2023 21:30,270,26.6
03.08.2023 21:00,262,26.7
03.08.2023 20:30,255,26.7
03.08.2023 20:00,250,26.7
03.08.2023 19:30,241,26.7
03.08.2023 19:00,236,26.7
03.08.2023 18:30,229,26.7
03.08.2023 18:00,229,26.7
03.08.2023 17:30,229,26.7
03.08.2023 17:00,231,26.6
03.08.2023 16:30,235,26.6
03.08.2023 16:00,242,26.6
03.08.2023 15:30,250,26.5
03.08.2023 15:00,259,26.5
03.08.2023 14:30,268,26.5
03.08.2023 14:00,276,26.5
03.08.2023 13:30,283,26.5
03.08.2023 13:00,286,26.5
03.08.2023 12:30,287,26.5
03.08.2023 12:00,286,26.5
03.08.2023 11:30,283,26.5
03.08.2023 11:00,277,26.5
03.08.2023 10:30,269,26.4
03.08.2023 10:00,259,26.5
03.08.2023 09:30,247,26.5
03.08.2023 09:00,234,26.6
03.08.2023 08:30,221,26.6
03.08.2023 08:00,205,26.6
03.08.2023 07:30,192,26.7
03.08.2023 07:00,180,26.7
03.08.2023 06:30,171,26.8
03.08.2023 06:00,164,26.8
03.08.2023 05:30,160,26.9
03.08.2023 05:00,162,26.9
03.08.2023 04:30,172,26.9
03.08.2023 04:00,181,26.9
03.08.2023 03:30,193,26.9
03.08.2023 03:00,205,27.0
03.08.2023 02:30,219,27.0
03.08.2023 02:00,231,27.0
03.08.2023 01:30,246,27.1
03.08.2023 01:00,260,27.1
03.08.2023 00:30,271,27.1
